 eid |                           title                            |                          description                           |     start_time      |      end_time       | rsvp_count 
-----+------------------------------------------------------------+----------------------------------------------------------------+---------------------+---------------------+------------
   2 | Web Development Bootcamp                                   | A hands-on bootcamp for building websites.                     | 2024-07-05 09:00:00 | 2024-07-07 17:00:00 |         18
  69 | Cooking Club Potluck                                       | Bring and share your favorite dishes.                          | 2024-07-30 18:00:00 | 2024-07-30 20:00:00 |         17
  79 | Robotics Workshop: Advanced Robotics Techniques            | Explore advanced techniques in robotics.                       | 2024-07-20 17:00:00 | 2024-07-20 19:00:00 |         17
  58 | Chess Tournament                                           | Compete in a chess tournament.                                 | 2024-07-05 14:00:00 | 2024-07-05 18:00:00 |         17
   1 | Intro to Coding Workshop                                   | Learn the basics of coding with Python.                        | 2024-07-01 10:00:00 | 2024-07-01 12:00:00 |         17
   9 | Tech Club Social Night                                     | Social gathering for club members.                             | 2024-07-18 19:00:00 | 2024-07-18 22:00:00 |         17
  65 | International Cuisine Night                                | Explore cuisines from around the world.                        | 2024-07-10 18:00:00 | 2024-07-10 20:00:00 |         17
 135 | Finance for Startups                                       | A session on managing finances for startups.                   | 2024-08-14 11:00:00 | 2024-08-14 13:00:00 |         17
   3 | AI and Machine Learning Seminar                            | Explore the latest trends in AI and ML.                        | 2024-07-15 14:00:00 | 2024-07-15 16:00:00 |         17
  68 | Cooking Class: Italian Cuisine                             | Master the art of Italian cooking.                             | 2024-07-25 19:00:00 | 2024-07-25 21:00:00 |         17
  72 | Photowalk: City Exploration                                | Capture the essence of the city through photography.           | 2024-07-15 17:00:00 | 2024-07-15 19:00:00 |         17
  75 | Photography Club Social Night                              | Socialize and share photography tips.                          | 2024-07-30 19:00:00 | 2024-07-30 21:00:00 |         16
  71 | Photography Workshop: Landscape Photography                | Learn techniques for capturing stunning landscapes.            | 2024-07-10 16:00:00 | 2024-07-10 18:00:00 |         16
  51 | Book Swap Event                                            | Exchange books and discuss favorites.                          | 2024-07-30 16:00:00 | 2024-07-30 18:00:00 |         16
  80 | Robotics Club Social Night                                 | Socialize and network with fellow robotics enthusiasts.        | 2024-07-25 19:00:00 | 2024-07-25 21:00:00 |         16
  70 | Photography Exhibition                                     | Showcase your best photographs in this exhibition.             | 2024-07-05 15:00:00 | 2024-07-05 17:00:00 |         16
 101 | Yoga and Meditation Workshop                               | Practice yoga and meditation techniques for relaxation.        | 2024-07-10 16:00:00 | 2024-07-10 18:00:00 |         16
 114 | Film Club Documentary Screening: Behind the Scenes         | Watch behind-the-scenes documentaries of famous films.         | 2024-07-15 18:00:00 | 2024-07-15 20:00:00 |         16
  60 | Chess Club Social Night                                    | Socialize and play chess with fellow members.                  | 2024-07-15 19:00:00 | 2024-07-15 21:00:00 |         16
 112 | Film Screening: Classic Movies Night                       | Enjoy classic movies from different eras.                      | 2024-07-05 19:00:00 | 2024-07-05 22:00:00 |         16
  59 | Chess Strategy Workshop                                    | Learn advanced chess strategies.                               | 2024-07-10 16:00:00 | 2024-07-10 18:00:00 |         16
 124 | Debate Club Current Affairs Debate                         | Engage in a debate on current political affairs.               | 2024-07-05 17:00:00 | 2024-07-05 19:00:00 |         16
  73 | Photography Contest: Portrait Photography                  | Compete for the best portrait photograph.                      | 2024-07-20 18:00:00 | 2024-07-20 20:00:00 |         16
  44 | Biology Field Trip                                         | Exploring biology in the outdoors.                             | 2024-07-25 09:00:00 | 2024-07-25 15:00:00 |         16
 121 | Volunteer Club Blood Donation Drive                        | Participate in a blood donation drive for hospitals.           | 2024-07-20 10:00:00 | 2024-07-20 14:00:00 |         16
 113 | Film Club Discussion: Contemporary Cinema Trends           | Discuss current trends in contemporary cinema.                 | 2024-07-10 17:00:00 | 2024-07-10 19:00:00 |         16
  57 | Math Club Seminar: Geometry                                | Explore geometry concepts in-depth.                            | 2024-07-30 16:00:00 | 2024-07-30 18:00:00 |         16
  61 | Chess Puzzle Challenge                                     | Solve challenging chess puzzles.                               | 2024-07-20 17:00:00 | 2024-07-20 19:00:00 |         16
  77 | Robotics Competition: Robot Wars                           | Compete in a thrilling robot battle competition.               | 2024-07-10 16:00:00 | 2024-07-10 18:00:00 |         16
  30 | Music Club Awards Night                                    | Celebrate achievements and talents in music.                   | 2024-07-30 19:00:00 | 2024-07-30 22:00:00 |         16
  37 | Improvisation Workshop                                     | Improve your improvisational acting skills.                    | 2024-07-20 16:00:00 | 2024-07-20 18:00:00 |         16
   5 | Hackathon                                                  | A coding competition to build innovative solutions.            | 2024-07-25 09:00:00 | 2024-07-26 09:00:00 |         16
  91 | Travel Club Workshop: Sustainable Travel Practices         | Learn about sustainable travel practices.                      | 2024-07-20 17:00:00 | 2024-07-20 19:00:00 |         16
  74 | Photography Masterclass: Light and Shadow                  | Learn to play with light and shadow in photography.            | 2024-07-25 16:00:00 | 2024-07-25 18:00:00 |         16
   4 | Tech Talk: Cybersecurity                                   | Discuss cybersecurity best practices.                          | 2024-07-20 13:00:00 | 2024-07-20 15:00:00 |         16
  67 | Farm-to-Table Cooking Workshop                             | Learn to cook using fresh farm ingredients.                    | 2024-07-20 16:00:00 | 2024-07-20 18:00:00 |         16
  63 | Chess Club Awards Ceremony                                 | Celebrate achievements and milestones.                         | 2024-07-30 16:00:00 | 2024-07-30 18:00:00 |         16
  90 | Travel Club Social: Travel Stories Night                   | Share and listen to travel stories from club members.          | 2024-07-15 19:00:00 | 2024-07-15 21:00:00 |         16
  10 | Startup Pitch Competition                                  | Pitch your startup ideas to industry experts.                  | 2024-07-05 13:00:00 | 2024-07-05 16:00:00 |         16
  35 | Scriptwriting Workshop                                     | Learn the art of writing compelling scripts.                   | 2024-07-10 15:00:00 | 2024-07-10 17:00:00 |         16
 107 | Historical Museum Visit                                    | Visit a local historical museum with the club.                 | 2024-07-10 11:00:00 | 2024-07-10 14:00:00 |         16
   6 | Tech Club Meeting                                          | Regular meeting to discuss club activities.                    | 2024-07-10 18:00:00 | 2024-07-10 20:00:00 |         16
 134 | Marketing Strategies Workshop                              | A workshop on effective marketing strategies.                  | 2024-08-07 13:00:00 | 2024-08-07 15:00:00 |         16
  86 | Gaming Club Social: Board Games Night                      | Play board games and socialize with club members.              | 2024-07-25 19:00:00 | 2024-07-25 21:00:00 |         16
  93 | Travel Club Adventure Planning                             | Plan upcoming adventure trips with the club.                   | 2024-07-30 16:00:00 | 2024-07-30 18:00:00 |         16
  36 | Drama Club Talent Show                                     | Showcase your talents on stage!                                | 2024-07-15 19:00:00 | 2024-07-15 22:00:00 |         16
 102 | Fitness Club Hiking Trip                                   | Embark on a scenic hiking trip with club members.              | 2024-07-15 07:00:00 | 2024-07-15 12:00:00 |         16
  14 | Sculpture Workshop                                         | Create sculptures using various materials.                     | 2024-07-15 09:00:00 | 2024-07-15 13:00:00 |         16
  66 | Cooking Competition: Best Dessert                          | Compete for the title of best dessert chef.                    | 2024-07-15 17:00:00 | 2024-07-15 19:00:00 |         16
  13 | Art History Lecture                                        | Explore the history of art movements.                          | 2024-07-10 14:00:00 | 2024-07-10 16:00:00 |         16
  16 | Art Club Social Night                                      | Socialize with fellow art enthusiasts.                         | 2024-07-25 19:00:00 | 2024-07-25 22:00:00 |         16
  62 | Chess Simultaneous Exhibition                              | Play against a master in a simultaneous exhibition.            | 2024-07-25 18:00:00 | 2024-07-25 20:00:00 |         16
 123 | Volunteer Club Awareness Campaign                          | Organize an awareness campaign for social issues.              | 2024-07-30 12:00:00 | 2024-07-30 15:00:00 |         16
 128 | Debate Club Public Speaking Workshop                       | Attend a workshop to improve public speaking skills.           | 2024-07-25 16:00:00 | 2024-07-25 18:00:00 |         16
  46 | Book Discussion: Classic Literature                        | Discussing classic literature masterpieces.                    | 2024-07-05 15:00:00 | 2024-07-05 17:00:00 |         16
   7 | Tech Expo                                                  | Showcase tech projects and innovations.                        | 2024-07-30 10:00:00 | 2024-07-30 16:00:00 |         16
 100 | Fitness Bootcamp                                           | Join an intense fitness bootcamp session.                      | 2024-07-05 18:00:00 | 2024-07-05 20:00:00 |         16
 136 | Pitching Your Idea                                         | A workshop on how to pitch your business idea.                 | 2024-08-21 15:00:00 | 2024-08-21 17:00:00 |         16
  78 | Robotics Club Project Showcase                             | Present your robotics projects to the club.                    | 2024-07-15 18:00:00 | 2024-07-15 20:00:00 |         16
  24 | Live Concert Night                                         | Enjoy live performances by local artists.                      | 2024-07-05 20:00:00 | 2024-07-05 23:00:00 |         16
  25 | Music Theory Workshop                                      | Learn music theory basics and notation.                        | 2024-07-10 14:00:00 | 2024-07-10 16:00:00 |         16
  47 | Poetry Reading Night                                       | Share and enjoy poetry readings.                               | 2024-07-10 19:00:00 | 2024-07-10 21:00:00 |         16
  76 | Robotics Workshop: Introduction to Robotics                | Learn the basics of robotics and programming.                  | 2024-07-05 14:00:00 | 2024-07-05 16:00:00 |         16
  64 | Healthy Cooking Workshop                                   | Learn to cook nutritious and delicious meals.                  | 2024-07-05 16:00:00 | 2024-07-05 18:00:00 |         16
  23 | Table Tennis Tournament                                    | Compete in a table tennis championship.                        | 2024-07-28 15:00:00 | 2024-07-28 18:00:00 |         16
   8 | Digital Marketing Workshop                                 | Learn digital marketing strategies and tools.                  | 2024-07-12 15:00:00 | 2024-07-12 17:00:00 |         16
  29 | Songwriting Workshop                                       | Learn the art of songwriting and composition.                  | 2024-07-08 15:00:00 | 2024-07-08 17:00:00 |         15
  54 | Math Olympiad Training Session                             | Prepare for upcoming math competitions.                        | 2024-07-15 16:00:00 | 2024-07-15 18:00:00 |         15
  99 | Nature Club Bird Watching Tour                             | Join a bird watching tour with experienced guides.             | 2024-07-30 08:00:00 | 2024-07-30 11:00:00 |         15
  34 | Play Rehearsal                                             | Rehearsing for our upcoming drama play.                        | 2024-07-05 18:00:00 | 2024-07-05 21:00:00 |         15
  96 | Nature Conservation Seminar                                | Attend a seminar on conservation and environmental protection. | 2024-07-15 16:00:00 | 2024-07-15 18:00:00 |         15
  41 | Science Fair Preparation                                   | Preparing projects for the upcoming science fair.              | 2024-07-10 14:00:00 | 2024-07-10 16:00:00 |         15
  83 | Esports Tournament: League of Legends                      | Compete in an exciting League of Legends tournament.           | 2024-07-10 16:00:00 | 2024-07-10 20:00:00 |         15
  27 | Instrument Jam Session                                     | Play and jam with fellow musicians.                            | 2024-07-20 17:00:00 | 2024-07-20 19:00:00 |         15
