 eid | cid |                           title                            |                          description                           |          location           |     start_time      |      end_time       |       posted_time       
-----+-----+------------------------------------------------------------+----------------------------------------------------------------+-----------------------------+---------------------+---------------------+-------------------------
   2 |   1 | Web Development Bootcamp                                   | A hands-on bootcamp for building websites.                     | Conference Room             | 2024-07-05 09:00:00 | 2024-07-07 17:00:00 | 2024-07-08 10:14:33.995
   3 |   1 | AI and Machine Learning Seminar                            | Explore the latest trends in AI and ML.                        | Auditorium                  | 2024-07-15 14:00:00 | 2024-07-15 16:00:00 | 2024-07-08 10:14:33.995
   4 |   1 | Tech Talk: Cybersecurity                                   | Discuss cybersecurity best practices.                          | Tech Lab                    | 2024-07-20 13:00:00 | 2024-07-20 15:00:00 | 2024-07-08 10:14:33.995
   5 |   1 | Hackathon                                                  | A coding competition to build innovative solutions.            | Main Hall                   | 2024-07-25 09:00:00 | 2024-07-26 09:00:00 | 2024-07-08 10:14:33.995
   6 |   1 | Tech Club Meeting                                          | Regular meeting to discuss club activities.                    | Tech Lab                    | 2024-07-10 18:00:00 | 2024-07-10 20:00:00 | 2024-07-08 10:14:33.995
   7 |   1 | Tech Expo                                                  | Showcase tech projects and innovations.                        | Exhibition Hall             | 2024-07-30 10:00:00 | 2024-07-30 16:00:00 | 2024-07-08 10:14:33.995
   8 |   1 | Digital Marketing Workshop                                 | Learn digital marketing strategies and tools.                  | Conference Room             | 2024-07-12 15:00:00 | 2024-07-12 17:00:00 | 2024-07-08 10:14:33.995
   9 |   1 | Tech Club Social Night                                     | Social gathering for club members.                             | Club Lounge                 | 2024-07-18 19:00:00 | 2024-07-18 22:00:00 | 2024-07-08 10:14:33.995
  10 |   1 | Startup Pitch Competition                                  | Pitch your startup ideas to industry experts.                  | Auditorium                  | 2024-07-05 13:00:00 | 2024-07-05 16:00:00 | 2024-07-08 10:14:33.995
  11 |   2 | Art Exhibition Opening Night                               | Grand opening of our art exhibition.                           | Art Gallery                 | 2024-07-01 18:00:00 | 2024-07-01 21:00:00 | 2024-07-08 10:14:33.998
  12 |   2 | Oil Painting Workshop                                      | Learn oil painting techniques from experts.                    | Studio 3                    | 2024-07-05 10:00:00 | 2024-07-05 12:00:00 | 2024-07-08 10:14:33.998
  13 |   2 | Art History Lecture                                        | Explore the history of art movements.                          | Conference Room             | 2024-07-10 14:00:00 | 2024-07-10 16:00:00 | 2024-07-08 10:14:33.998
  14 |   2 | Sculpture Workshop                                         | Create sculptures using various materials.                     | Sculpture Studio            | 2024-07-15 09:00:00 | 2024-07-15 13:00:00 | 2024-07-08 10:14:33.998
  15 |   2 | Abstract Art Seminar                                       | Discuss techniques and concepts in abstract art.               | Art Gallery                 | 2024-07-20 16:00:00 | 2024-07-20 18:00:00 | 2024-07-08 10:14:33.998
  16 |   2 | Art Club Social Night                                      | Socialize with fellow art enthusiasts.                         | Club Lounge                 | 2024-07-25 19:00:00 | 2024-07-25 22:00:00 | 2024-07-08 10:14:33.998
  17 |   2 | Watercolor Painting Workshop                               | Learn watercolor painting techniques.                          | Studio 3                    | 2024-07-12 13:00:00 | 2024-07-12 15:00:00 | 2024-07-08 10:14:33.998
